link,post_type,num_of_comments,content_link,text,views,likes,date
https://www.instagram.com/p/CdVp0WKpOcw/,Clip,"2,071",https://www.instagram.com/61e8f1b9-9dbd-4e15-93f8-5cb538c82074,"Enjoyed talking to @tombilyeu about NFTs, web3 and the metaverse. This week we're starting to test digital collectibles on Instagram so creators and collectors can display their NFTs on their profile. Similar functionality is coming to Facebook soon, along with augmented reality NFTs on Instagram Stories via Spark AR so you can place digital art into physical spaces.",,59408,2022-05-09T13:05:48.000Z
https://www.instagram.com/p/CdIm4dbAw6T/,Photo,"2,751",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/279752940_1017850935774682_2682894832316864286_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=27utYeGh2N4AX-OW4uq&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgzMDY4MzM3MTQ1MjE3Mzk3MQ%3D%3D.2-ccb7-4&oh=00_AT-ym-OqpfFTrX8LRWCq5NSaUFxzFA_ltVnq24zHZaQL5Q&oe=6281A533&_nc_sid=83d603,Great to be back in Milan to discuss plans for new smart glasses with Leonardo Del Vecchio and the EssilorLuxottica team. Here Leonardo is using a prototype of our neural interface EMG wristband that will eventually let you control your glasses and other devices. 😎,,87209,2022-05-04T11:48:29.000Z
https://www.instagram.com/p/Ccx0Mtwrghd/,Carousel,"7,992",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/279155077_364687258946073_344742437044000903_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=F41cdZQ2uWgAX-1VYC2&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgyNDI2ODAwNjc0NzQ1NjY2NA%3D%3D.2-ccb7-4&oh=00_AT-NiMpZ1zuUKnRXYR02N9ByV_pAjaPaa4lejBanYMwL2g&oe=62826367&_nc_sid=83d603,"Meta's first store is opening in Burlingame, California on May 9! You can experience Quest 2 and project what you're experiencing onto a big wall for your friends. It's a great way to see how our products connect people today and get a sense for what's coming as we build towards the metaverse.",,348611,2022-04-25T15:03:25.000Z
https://www.instagram.com/p/Ccq_AghrVA1/,Photo,"3,171",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/278935950_350100233760627_4089267802022708948_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=VYT2IBt5XHUAX82DfM7&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgyMjM0NTIyODM1NTk4MTM2NQ%3D%3D.2-ccb7-4&oh=00_AT9MMyhn5q2nOeN0dNsAAor0tnhi5xJHfw8iImW-fgwVxA&oe=62811047&_nc_sid=83d603,This always makes me laugh.,,119603,2022-04-22T23:23:11.000Z
https://www.instagram.com/p/CcqMgfBLoXq/,Photo,"2,008",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/278986278_481580527090241_1199456717738258800_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=bu2VqR_KVEYAX_cj46-&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgyMjEyMzEyNTM4ODI0ODU1NA%3D%3D.2-ccb7-4&oh=00_AT_8HqgruvYNEABjxw3bDHTD3VIwWISBX0KODjGF6HlkhA&oe=6281896F&_nc_sid=83d603,Any guesses where this was taken? 👀,,78034,2022-04-22T16:01:54.000Z
https://www.instagram.com/p/CcjOa8svlFm/,Photo,"2,647",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/278676836_175242968173555_521852712109214729_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=NKa8rL-Vc8MAX8P4YeI&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgyMDE2MTIxNjE5Njc5MjY3OA%3D%3D.2-ccb7-4&oh=00_AT-OcK3N1b404WRfqZZcBHBEeOKYwT1pA09VmfLKtRoPVQ&oe=6280C796&_nc_sid=83d603,Sharing some exciting news tomorrow at the Meta Quest Gaming Showcase. Stay tuned for some new game reveals 👀,,116942,2022-04-19T23:03:56.000Z
https://www.instagram.com/p/CcilX6xpdjU/,Clip,"1,671",https://www.instagram.com/3986476b-e827-4220-a790-bde5c3e892ea,"In the metaverse, your hands will move as naturally as in the physical world. Our Presence Platform keeps improving to support more hand gestures, tracking continuity, and faster movement.🤘",,58339,2022-04-19T17:07:00.000Z
https://www.instagram.com/p/Ccfyd3VrJ46/,Photo,"2,519",https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/278662006_521150309378630_8232287899422936710_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=xUsqe2JzN6sAX8K3mOh&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgxOTE5Mzg0NjM2NzAzNDkzOA%3D%3D.2-ccb7-4&oh=00_AT-WggQxpFtQw51APuSpENjCqDQQDfHuTwuwEWaVkpLs8w&oe=62820CD7&_nc_sid=83d603,"We're rolling out product tagging to everyone in the US, so here's my best influencer impression. Seriously @kellyslater, these @outerknown sweaters are great. You're the 🐐 of surfing and terry cloth!",,65288,2022-04-18T15:01:57.000Z
https://www.instagram.com/p/CbfjEbjpYoC/,Clip,"4,933",https://www.instagram.com/5617a2b5-cd70-4388-aaa0-aae5da3c49ad,"@timferriss and I had a good conversation about the metaverse, leadership, and a lot of other things (fencing, parenting, learning Mandarin, etc). Expanding opportunity to more people to do creative work and live the lives they want is one of the fundamental promises of the metaverse. More people should be able to earn a living pursuing their passions as the creative economy grows. You can listen to the full conversation at tim.blog.",,33110,2022-03-24T16:17:30.000Z
https://www.instagram.com/p/CbNfVqNFz5P/,Clip,"2,201",https://www.instagram.com/09b7f843-6573-44a3-9f66-17a0ce29cb84,"Interoperability will be important for building the creator economy in the metaverse. NFTs and some of the web3 trends we’re seeing will be key pieces of this. Thanks @thesharkdaymond and @SXSW for a great conversation about the metaverse and what it’ll unlock for creators, commerce and connection.",,27006,2022-03-17T15:59:16.000Z
https://www.instagram.com/p/CaYYdAqpZU6/,Photo,49.8k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/274604583_276225154583745_4752234791081329213_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=h7gcfaRNf6MAX9f9fP6&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4MTA4MDMxNjU5Nzg2NzgzNA%3D%3D.2-ccb7-4&oh=00_AT_iFvKGpXqcovYLqA3UOtfdIOz5ByfJdsfRWc98SslAVQ&oe=6281F6ED&_nc_sid=83d603,Happy birthday to the main character in our family!,,486479,2022-02-25T00:57:10.000Z
https://www.instagram.com/p/CaVC3vThjCR/,Clip,"5,830",https://www.instagram.com/5252919a-f5b4-463b-a8db-afc47394699d,Meta AI is working on a tool called BuilderBot that lets you create virtual worlds by describing them with your voice. Check it out.,,129807,2022-02-23T17:51:06.000Z
https://www.instagram.com/p/CX_9OF_l_N0/,Photo,13.3k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/270061264_446788416993136_126383615977747137_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=hlhLkRs6OosAX8DFdpU&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjczODE3NjM0NzgxMDAzNDU0OA%3D%3D.2-ccb7-4&oh=00_AT_DCgP-ZsRK2tprP53tptXHZPTpLF-a8QQLf8HD0Mibug&oe=62817765&_nc_sid=83d603,Infinite Sweet Baby Ray’s (@tank.sinatra x @zuck metaverse meme collection collab),,206741,2021-12-28T15:30:26.000Z
https://www.instagram.com/p/CX7MQOat2q8/,Clip,"6,532",https://www.instagram.com/707d34e1-7c66-4bd0-9f67-bbeca72dda44,Downwind for days -- and Merry Christmas!,,198520,2021-12-26T01:46:47.000Z
https://www.instagram.com/p/CXbj3-4JBlY/,Clip,13.6k,https://www.instagram.com/29e499e9-3bc2-4481-ad70-b4bf56192baa,"Launching Spark AR Go today in closed beta, a standalone mobile app (iOS only to start) to easily create and publish AR effects for Instagram. Pig Newton sounds interesting, but I think I'll stick with Sweet Baby Ray's.",,347464,2021-12-13T17:01:50.000Z
https://www.instagram.com/p/CWWI0WxPeW_/,Photo,18.9k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/257165624_565382301229117_223398014529779896_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=IGxnMo1O8XUAX_yUTs-&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjcwODM5MTAwODE0MzI3MTM1OQ%3D%3D.2-ccb7-4&oh=00_AT-CouoTGeNx0Meu2a0t2hti7pmMX0sEbZRcqJw3pmKr8Q&oe=6281CA7F&_nc_sid=83d603,Meta's Reality Labs team is working on haptic gloves to create a realistic sense of touch in the metaverse. One day you'll be able to feel texture and pressure when you touch virtual objects.,,574879,2021-11-16T17:56:29.000Z
https://www.instagram.com/p/CWJ64wvsiXS/,Video,"5,510",https://www.instagram.com/cedbd263-876e-4254-b99a-7cf324296f6b,The metaverse is the next frontier in social connection. I talked with Gary Vaynerchuk about what this future will unlock and the technology we need to bring it to life.,"1,832,269 views","181,466 likes",2021-11-12T00:04:23.000Z
https://www.instagram.com/p/CV8sdGorict/,Photo,13.4k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/252454988_619904842710731_1708227946498804546_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=pOk8mJfknowAX8-IIHW&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjcwMTIyOTM5MDU1MTcyMTc3Mw%3D%3D.2-ccb7-4&oh=00_AT-rY9GuuQ7DKTuYoDi-aEB_HssRPGi58VDETeSQC3xG9w&oe=62814DD5&_nc_sid=83d603,Pretty sweet.,,600297,2021-11-06T20:47:38.000Z
https://www.instagram.com/p/CVvr1ykAgpO/,Video,"6,935",https://www.instagram.com/a5357ba1-4d44-442d-ad81-d411afd926bb,Gaming in the metaverse is going to be awesome. I hope someone makes a Kai Lenny foiling and surfing game soon!,"2,508,344 views","201,392 likes",2021-11-01T19:32:22.000Z
https://www.instagram.com/p/CVqSfyesztW/,Video,13.4k,https://www.instagram.com/622484e3-2a4f-41a4-b266-8cf768cea877,"It's been fun to imagine the types of experiences the metaverse will unlock, like giving everyone the ability to fence with Olympic gold medalist Lee Kiefer. Spoiler alert: she will win every time.","5,073,164 views","733,107 likes",2021-10-30T17:14:42.000Z
https://www.instagram.com/p/CVl01V7vXSE/,Photo,39.3k,https://instagram.fala7-1.fna.fbcdn.net/v/t51.2885-15/249713234_299781238637470_4343174218132396613_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=StWTJQsrxNUAX9Fpzv0&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjY5NDc5MjMxNjE1MjgwNDQ4NA%3D%3D.2-ccb7-4&oh=00_AT_xQVQ_Ppq93-HIFvg4HpVZ9SZljhpiulnLt5tBdzwEFw&oe=6281A7CC&_nc_sid=83d603,"Hello, Meta.",,1268728,2021-10-28T23:38:19.000Z
https://www.instagram.com/p/CU0-7W-pvz_/,Video,10.2k,https://www.instagram.com/db2f0681-5358-4afc-b19d-cdd4fdb39867,Last row of the season. Shot on 😎,"2,921,155 views","282,515 likes",2021-10-10T00:23:59.000Z
https://www.instagram.com/p/CUlJKmYBjwa/,Video,18.2k,https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_261787092374728_212357760634536532_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=mAfsqT7XmlYAX9352fh&edm=AABBvjUBAAAA&vs=167238768900154_3192284352&_nc_vs=HBksFQAYJEdJQ1dtQURJMUtVT0dPNEFBRlJDNnhkQ2N2SUNidlZCQUFBRhUAAsgBABUAGCRHSld0aUE2YnVOXy1OdEFBQUxwdGM1R0hPZ1pKYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb0h6XTg%2BPWPxUCKAJDMywXQEMAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627D1602&oh=00_AT84aViJGswzjmCzl2JUZIEXagwdk3nJ9Y0SbNBJ2w9nAg&_nc_sid=83d603,Sailing with Priscilla and friends. Shot on 😎,"3,543,361 views","285,574 likes",2021-10-03T20:45:55.000Z
https://www.instagram.com/p/CUBVheLMULt/,Video,"4,388",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_685846286140634_2084322910355371340_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=MXedGLNruNkAX-Nz6bv&edm=AABBvjUBAAAA&vs=1331468847255814_1578107361&_nc_vs=HBksFQAYJEdJQ1dtQURhaEVFSXhtOENBRXkxOE15a0FPMGNidlZCQUFBRhUAAsgBABUAGCRHRWxpY2c0YXNlX0FibVlCQU1XWUpGdl95ZHc0YnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbkl%2Bq8n5bNPxUCKAJDMywXQFqVT987ZFoYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627CBBA0&oh=00_AT_Ad04exDz25QfMLFo1GRe9Sjk3vnUFILmVPRjkEhoZBg&_nc_sid=83d603,Fencing with Olympic gold medalist @leetothekiefer and world champion @gerekmeinhardt. Shot on my Ray-Bans 😎,"2,871,727 views","127,196 likes",2021-09-19T23:02:08.000Z
https://www.instagram.com/p/CTm6iKepk3w/,Video,"4,862",https://instagram.fala7-1.fna.fbcdn.net/v/t50.16885-16/10000000_4087835501328827_6361380369104244099_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0di5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fala7-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=hboEEAV35WcAX8lT664&edm=AABBvjUBAAAA&vs=17907838460005954_228706269&_nc_vs=HBksFQAYJEdJQ1dtQUM3X2ZSZTNZVU9BSU1ObXQyOUtVaFlidlZCQUFBRhUAAsgBABUAGCRHTndLWlE2LXBsbU1Eb0lCQU5DaWFOb2NUZlliYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbSmYKhzZLMPxUCKAJDMywXQIEEhysCDEoYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-4&oe=627CDCAB&oh=00_AT8lrg8r7D6IfqbUrehgA5pojAIsUD_RVEF0QzhLG7mSpQ&_nc_sid=83d603,"Introducing Ray-Ban Stories

Introducing Ray-Ban Stories. Smart glasses that let you capture photos and videos, share them with friends, listen to music and podcasts, or take phone calls -- all while staying in the moment. Starting at $299 and available now @rayban","2,100,997 views","109,343 likes",2021-09-09T16:46:13.000Z
