date,username,name,text,content,reply,retweet,like
2022-05-09T13:35:52.000Z,@elonmusk,Elon Musk,Chocolate milk is insanely good. Just had some.,,64561 Replies. Reply,83108 Retweets. Retweet,997360 Likes. Like
2022-05-09T11:13:59.000Z,@elonmusk,Elon Musk,There are no angels in war,,9597 Replies. Reply,12430 Retweets. Retweet,155226 Likes. Like
2022-05-09T00:51:26.000Z,@elonmusk,Elon Musk,"If I die under mysterious circumstances, it’s been nice knowin ya",,139594 Replies. Reply,211694 Retweets. Retweet,1765628 Likes. Like
2022-05-09T00:51:26.000Z,@elonmusk,Elon Musk,"If I die under mysterious circumstances, it’s been nice knowin ya",,139594 Replies. Reply,211695 Retweets. Retweet,1765628 Likes. Like
2022-05-09T00:45:05.000Z,@elonmusk,Elon Musk,The word “Nazi” doesn’t mean what he seems to think it does,https://twitter.com/elonmusk/status/1523464037048020992/photo/1,11662 Replies. Reply,14466 Retweets. Retweet,144611 Likes. Like
2022-05-09T00:40:57.000Z,@elonmusk,Elon Musk,".
@Rogozin
 sent this to Russian media",https://twitter.com/elonmusk/status/1523462998081572864/photo/1,7965 Replies. Reply,9795 Retweets. Retweet,102364 Likes. Like
2022-05-07T12:37:25.000Z,@elonmusk,Elon Musk,"Also, work ethic expectations would be extreme, but much less than I demand of myself",,12721 Replies. Reply,13424 Retweets. Retweet,198894 Likes. Like
2022-05-06T16:10:46.000Z,@elonmusk,Elon Musk,"Replying to 
@elonmusk",,12148 Replies. Reply,28564 Retweets. Retweet,263105 Likes. Like
2022-05-06T15:33:10.000Z,@elonmusk,Elon Musk,Another Starlink mission completed,,8074 Replies. Reply,11252 Retweets. Retweet,147515 Likes. Like
2022-05-06T15:14:54.000Z,@elonmusk,Elon Musk,"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec & server hardware",https://t.co/m2HseK0TXl,21039 Replies. Reply,39550 Retweets. Retweet,391467 Likes. Like
2022-05-06T14:00:36.000Z,@Tesla,Tesla,We created nearly 100k direct new jobs in just one decade – and are planning to grow for years to come ,https://twitter.com/Tesla/status/1522577071326834689/photo/1,1740 Replies. Reply,4196 Retweets. Retweet,50134 Likes. Like
2022-05-06T14:00:05.000Z,@Tesla,Tesla,"The future is undoubtedly electric  
→ 2021 Impact Report",https://t.co/Zj8onKMJrT,2001 Replies. Reply,4637 Retweets. Retweet,38057 Likes. Like
2022-05-06T03:59:42.000Z,@NASA,NASA,The deorbit burn has begun and the #Crew3 astronauts are one step closer to coming home.,,2502 Replies. Reply,4338 Retweets. Retweet,42453 Likes. Like
2022-05-05T05:21:00.000Z,@SpaceX,SpaceX,"Dragon separation confirmed! The spacecraft will now execute four departure burns to move away from the 
@space_station
. Dragon will reenter the Earth's atmosphere and splashdown in ~23.5 hours",,4405 Replies. Reply,5778 Retweets. Retweet,54925 Likes. Like
2022-05-04T20:32:01.000Z,@elonmusk,Elon Musk,Interesting. I wonder if those funding these organizations are fully aware of what the organizations are doing.,https://t.co/YzVZIvF68E,14843 Replies. Reply,29438 Retweets. Retweet,155573 Likes. Like
2022-05-04T11:03:33.000Z,@elonmusk,Elon Musk,I dunno … seems kinda fungible,,35808 Replies. Reply,37199 Retweets. Retweet,478984 Likes. Like
2022-05-03T23:19:37.000Z,@elonmusk,Elon Musk,"Twitter will always be free for casual users, but maybe a slight cost for commercial/government users",,19877 Replies. Reply,40051 Retweets. Retweet,426484 Likes. Like
2022-05-03T20:00:53.000Z,@elonmusk,Elon Musk,"Ultimately, the downfall of the Freemasons was giving away their stonecutting services for nothing",,26058 Replies. Reply,38455 Retweets. Retweet,438466 Likes. Like
2022-05-03T19:35:33.000Z,@elonmusk,Elon Musk,"Replying to 
@elonmusk",,15666 Replies. Reply,43810 Retweets. Retweet,415095 Likes. Like
2022-05-03T19:34:55.000Z,@elonmusk,Elon Musk,Who funds these organizations that want to control your access to information? Let’s investigate …,https://t.co/dBFsGjOMC8,23450 Replies. Reply,62316 Retweets. Retweet,401139 Likes. Like
2022-05-03T04:20:53.000Z,@Tesla,Tesla,"Tesla's 2022 Annual Shareholder Meeting will be on August 4th in Austin, TX. Thank you for your support of Tesla!",,3507 Replies. Reply,6024 Retweets. Retweet,75171 Likes. Like
2022-05-02T19:00:20.000Z,@elonmusk,Elon Musk,As I was saying …,https://twitter.com/elonmusk/status/1521202951230046210/photo/1,55522 Replies. Reply,119367 Retweets. Retweet,1365972 Likes. Like
2022-05-02T18:12:19.000Z,@elonmusk,Elon Musk,"the elusive beauty of imperfection

侘寂",,24206 Replies. Reply,33415 Retweets. Retweet,425326 Likes. Like
2022-05-01T06:23:15.000Z,@elonmusk,Elon Musk,"Since I’ve been asked a lot:

Buy stock in several companies that make products & services that *you* believe in.

Only sell if you think their products & services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",,45317 Replies. Reply,125012 Retweets. Retweet,1134476 Likes. Like
2022-04-29T21:37:16.000Z,@Tesla,Tesla,Tesla Cyber Rodeo,https://youtu.be/2AVDc2tjq30,7539 Replies. Reply,7531 Retweets. Retweeted,76515 Likes. Liked
2022-04-29T21:19:50.000Z,@SpaceX,SpaceX,Watch Falcon 9 launch 53 Starlink satellites to orbit → http://spacex.com/launches/sl4-16,https://twitter.com/i/broadcasts/1mrGmaRyPADGy,3855 Replies. Reply,8287 Retweets. Retweet,71798 Likes. Liked
2022-04-29T12:44:05.000Z,@elonmusk,Elon Musk,"But I’m no fan of the far right either. 

Let’s have less hate and more love.",,45045 Replies. Reply,57240 Retweets. Retweet,837271 Likes. Like
2022-04-29T12:28:10.000Z,@elonmusk,Elon Musk,"The far left hates everyone, themselves included!",,65506 Replies. Reply,149195 Retweets. Retweet,1229922 Likes. Like
2022-04-28T20:58:09.000Z,@elonmusk,Elon Musk,"“Real magic is only a sip away.”
(Actual slogan of Coca-Cola!!) ",,14997 Replies. Reply,24605 Retweets. Retweet,441317 Likes. Like
2022-04-28T20:53:49.000Z,@elonmusk,Elon Musk,".
@CocaCola
 Oh hi lol",,35583 Replies. Reply,51650 Retweets. Retweet,646828 Likes. Like
2022-04-28T17:47:22.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1519735033950470144/photo/1,95423 Replies. Reply,267134 Retweets. Retweet,1612159 Likes. Like
2022-04-28T02:14:58.000Z,@SpaceX,SpaceX,"Video of Dragon’s Draco thrusters moving the spacecraft closer to the 
@Space_Station",,4997 Replies. Reply,10353 Retweets. Retweet,110679 Likes. Like
2022-04-28T01:57:27.000Z,@elonmusk,Elon Musk,"Listen, I can’t do miracles ok",https://twitter.com/elonmusk/status/1519495982723084290/photo/1,80170 Replies. Reply,249881 Retweets. Retweet,2651799 Likes. Like
2022-04-28T01:53:50.000Z,@elonmusk,Elon Musk,Let’s make Twitter maximum fun!,,119936 Replies. Reply,243959 Retweets. Retweet,2740843 Likes. Like
2022-04-28T00:56:58.000Z,@elonmusk,Elon Musk,Next I’m buying Coca-Cola to put the cocaine back in,,195801 Replies. Reply,890004 Retweets. Retweet,4884274 Likes. Like
2022-04-28T00:13:47.000Z,@elonmusk,Elon Musk,"Twitter DMs should have end to end encryption like Signal, so no one can spy on or hack your messages",,44328 Replies. Reply,133263 Retweets. Retweet,1523056 Likes. Like
2022-04-27T23:41:36.000Z,@SpaceX,SpaceX,Docking confirmed!,https://twitter.com/SpaceX/status/1519461793604661248/photo/1,2554 Replies. Reply,7310 Retweets. Retweet,128093 Likes. Like
2022-04-27T20:38:20.000Z,@elonmusk,Elon Musk,"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally",,84320 Replies. Reply,183372 Retweets. Retweet,1609444 Likes. Like
2022-04-27T18:06:21.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1519377424437243904/photo/1,20973 Replies. Reply,56188 Retweets. Retweet,498256 Likes. Like
2022-04-27T17:28:36.000Z,@elonmusk,Elon Musk,Should be called Trumpet instead!,,18238 Replies. Reply,23875 Retweets. Retweet,493588 Likes. Like
2022-04-27T17:11:41.000Z,@elonmusk,Elon Musk,Truth Social (terrible name) exists because Twitter censored free speech,,21769 Replies. Reply,37231 Retweets. Retweet,512625 Likes. Like
2022-04-27T05:01:00.000Z,@elonmusk,Elon Musk,Truth Social is currently beating Twitter & TikTok on the Apple Store,https://twitter.com/elonmusk/status/1519179787163652099/photo/1,48013 Replies. Reply,63026 Retweets. Retweet,635116 Likes. Like
