date,username,name,text,content,reply,retweet,like
2022-05-01T06:23:15.000Z,@elonmusk,Elon Musk,"Since I’ve been asked a lot:

Buy stock in several companies that make products & services that *you* believe in.

Only sell if you think their products & services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",,15134 Replies. Reply,39793 Retweets. Retweet,317455 Likes. Like
2022-04-29T21:37:16.000Z,@Tesla,Tesla,Tesla Cyber Rodeo,https://youtu.be/2AVDc2tjq30,6235 Replies. Reply,5785 Retweets. Retweeted,55227 Likes. Liked
2022-04-29T21:19:50.000Z,@SpaceX,SpaceX,Watch Falcon 9 launch 53 Starlink satellites to orbit → http://spacex.com/launches/sl4-16,https://twitter.com/i/broadcasts/1mrGmaRyPADGy,2566 Replies. Reply,5587 Retweets. Retweet,46288 Likes. Liked
2022-04-29T12:44:05.000Z,@elonmusk,Elon Musk,"But I’m no fan of the far right either. 

Let’s have less hate and more love.",,41356 Replies. Reply,51477 Retweets. Retweet,737433 Likes. Like
2022-04-29T12:28:10.000Z,@elonmusk,Elon Musk,"The far left hates everyone, themselves included!",,60822 Replies. Reply,137235 Retweets. Retweet,1104855 Likes. Like
2022-04-28T20:58:09.000Z,@elonmusk,Elon Musk,"“Real magic is only a sip away.”
(Actual slogan of Coca-Cola!!) ",,13922 Replies. Reply,22778 Retweets. Retweet,403925 Likes. Like
2022-04-28T20:53:49.000Z,@elonmusk,Elon Musk,".
@CocaCola
 Oh hi lol",,33398 Replies. Reply,48407 Retweets. Retweet,595755 Likes. Like
2022-04-25T00:30:36.000Z,@SpaceX,SpaceX,"Watch Dragon and the Ax-1 astronauts depart the 
@space_station
 and return to Earth → http://spacex.com/launches/ax-1/",https://twitter.com/i/broadcasts/1yoJMWkrpXzKQ,2099 Replies. Reply,5104 Retweets. Retweet,46594 Likes. Like
2022-04-24T14:25:01.000Z,@elonmusk,Elon Musk,(from making fun of Gates for shorting Tesla while claiming to support climate change action),,12494 Replies. Reply,24329 Retweets. Retweet,404192 Likes. Like
2022-04-24T11:46:48.000Z,@elonmusk,Elon Musk,Moving on …,,34507 Replies. Reply,38163 Retweets. Retweet,504882 Likes. Like
2022-04-23T04:07:18.000Z,@elonmusk,Elon Musk,shadow ban council reviewing tweet …,https://twitter.com/elonmusk/status/1517716718382166016/photo/1,12613 Replies. Reply,48749 Retweets. Retweet,639980 Likes. Like
2022-04-23T03:30:45.000Z,@elonmusk,Elon Musk,in case u need to lose a boner fast,https://twitter.com/elonmusk/status/1517707521343082496/photo/1,73360 Replies. Reply,174840 Retweets. Retweet,1432650 Likes. Like
2022-04-22T23:43:11.000Z,@elonmusk,Elon Musk,What is best in life?,,56840 Replies. Reply,12784 Retweets. Retweet,168873 Likes. Like
2022-04-22T23:39:48.000Z,@elonmusk,Elon Musk,The Barbarians are at the Gate,,19657 Replies. Reply,30496 Retweets. Retweet,337289 Likes. Like
2022-04-21T20:20:38.000Z,@elonmusk,Elon Musk,Believe in the future,,17005 Replies. Reply,29437 Retweets. Retweet,329670 Likes. Like
2022-04-21T20:12:46.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1517234911035412481/photo/1,13938 Replies. Reply,27579 Retweets. Retweet,457566 Likes. Like
2022-04-21T20:09:15.000Z,@elonmusk,Elon Musk,,https://twitter.com/elonmusk/status/1517234027970899982/photo/1,13347 Replies. Reply,18029 Retweets. Retweet,311007 Likes. Like
